,IT_relatedness,deterministic_following_activity,deterministic_preceding_activity,following_activities_standardization,preceding_activities_standardization,failure_rate,number_of_resources,ef_relative,median_execution_time,et_relative,stability,Confidence_activity_Automated,Confidence_activity_Physical or Cognitive Task,Confidence_action_Automated,Confidence_action_Low Automatable User Task,Confidence_action_High Automatable User Task,Confidence_action_Physical or Cognitive Task,Confidence_business object_Automated,Confidence_business object_Physical or Cognitive Task,task_type
482,0.6281129121780396,False,True,4.0,1.0,1.0110441767068272,4,0.05473421024024189,1526565.0,0.06371981902867065,5.4442573647052965,0.2019819021224976,0.7980180978775024,0.2039087414741516,0.22029949724674225,0.15992756187915802,0.4158642888069153,0.3984242081642151,0.6015758514404297,Physical or Cognitive Task
338,1.0,True,True,1.0,1.0,1.0,3,0.0005636470216891372,0.03,4.066332201688618e-09,0.0005376068376068376,0.6168739199638367,0.3831260800361633,0.2154877483844757,0.3265217244625092,0.21783438324928284,0.24015623331069946,0.6203428506851196,0.3796571493148804,Low Automatable User Task
183,0.686505913734436,False,False,3.0,3.0,1.0,1,9.018352347026196e-05,0.2,0.00019162512301761417,9189.057502328787,0.7968783974647522,0.20312157273292544,0.2565959692001343,0.3293075859546661,0.2507301568984985,0.16336636245250702,0.6770351529121399,0.3229648470878601,High Automatable User Task
385,1.0000001192092896,False,False,5.0,3.0,1.0,1,0.017423772981838257,-1.0,0.007975040975313007,1.318024366744786,0.8338719010353088,0.16612806916236875,0.24642454087734225,0.32209452986717224,0.2479451596736908,0.18353573977947235,0.6790432333946228,0.3209567964076996,Automated
208,0.5540521740913391,False,False,5.0,5.0,1.0,3,0.00022545880867565495,0.0,8.966783829364641e-09,172.0,0.6897468566894531,0.3102531731128693,0.20561712980270386,0.2137925624847412,0.15027888119220734,0.4303114414215088,0.8257132172584534,0.17428679764270782,Physical or Cognitive Task
554,0.6281129121780396,False,False,6.0,9.0,1.0,1,0.00019634792852935403,3295.15,0.00022995282674033243,1374.4687071490769,0.6451092362403871,0.35489076375961304,0.1971212923526764,0.3482063412666321,0.21833865344524386,0.23633381724357605,0.3984242081642151,0.6015758514404297,High Automatable User Task
546,0.5537296533584595,False,False,3.0,6.0,1.036036036036036,6,0.0013282359871103378,3936.0,0.0007346997405135612,55.47832979538094,0.22279223799705505,0.7772077918052673,0.2065145969390869,0.21403315663337708,0.14413444697856906,0.4353177547454834,0.4147078096866608,0.5852922201156616,Physical or Cognitive Task
41,0.5710995197296143,False,False,2.0,3.0,1.1189925469031097,105,0.009328594047611462,0.0,0.0038443749521554,37.961289560877105,0.8750361204147339,0.12496387213468553,0.2030228227376938,0.2828759253025055,0.21139401197433472,0.302707314491272,0.7267113327980042,0.27328866720199585,Low Automatable User Task
642,0.5843467712402344,True,False,1.0,4.0,1.0,0,0.04410411463126019,2779.15,0.049339768810533285,4.074219004488484,0.6433547735214233,0.35664525628089905,0.20506989955902102,0.3318923413753509,0.2537300288677216,0.2093077450990677,0.39611580967903137,0.603884220123291,Physical or Cognitive Task
326,1.0000001192092896,True,True,1.0,1.0,1.0,1,2.254588086756549e-05,0.0,0.0,0.0,0.8812263607978821,0.11877360939979552,0.18502207100391388,0.3259229063987732,0.18569821119308472,0.303356796503067,0.6936355829238892,0.3063644468784332,Automated
